
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
G16,PR0_PRU1_GPIO1,,PR0_PRU1_GPIO1,,,FSIRX2_CLK,TRC_DATA7,,GPMC_A14,GPIO110,,,,,,,,
E17,PR0_PRU1_GPIO2,,PR0_PRU1_GPIO2,,,FSIRX2_D0,TRC_DATA8,,GPMC_A15,GPIO111,,,,,,,,
E18,PR0_PRU1_GPIO3,,PR0_PRU1_GPIO3,,,FSIRX2_D1,TRC_DATA9,,GPMC_A16,GPIO112,,,,,,,,
C16,PR0_PRU1_GPIO16,,PR0_PRU1_GPIO16,,,FSITX3_CLK,TRC_DATA10,,GPMC_A17,GPIO113,,,,,,,,
A17,PR0_PRU1_GPIO15,,PR0_PRU1_GPIO15,,,FSITX3_D0,TRC_DATA11,,GPMC_A18,GPIO114,,,,,,,,
B18,PR0_PRU1_GPIO11,,PR0_PRU1_GPIO11,,,FSITX3_D1,TRC_DATA12,,GPMC_A19,GPIO115,,,,,,,,
B17,PR0_PRU1_GPIO12,,PR0_PRU1_GPIO12,,,FSIRX3_CLK,TRC_DATA13,,GPMC_A20,GPIO116,,,,,,,,
D16,PR0_PRU1_GPIO13,,PR0_PRU1_GPIO13,,,FSIRX3_D0,TRC_DATA14,OUTPUTXBAR11,GPMC_A21,GPIO117,,,,,,,,
C17,PR0_PRU1_GPIO14,,PR0_PRU1_GPIO14,,,FSIRX3_D1,TRC_DATA15,OUTPUTXBAR12,GPMC_CSn0,GPIO118,,,,,,,,
D15,PR0_PRU1_GPIO19,,PR0_PRU1_GPIO19,,UART3_RXD,PR0_IEP0_EDC_SYNC_OUT0,TRC_CLK,OUTPUTXBAR13,,GPIO119,,EQEP1_A,,,,,,
C15,PR0_PRU1_GPIO18,,PR0_PRU1_GPIO18,,UART3_TXD,PR0_IEP0_EDIO_DATA_IN_OUT31,TRC_CTL,OUTPUTXBAR14,GPMC_WAIT1,GPIO120,,EQEP1_B,,,,,,
P2,EXT_REFCLK0,,EXT_REFCLK0,,,,,OUTPUTXBAR15,,GPIO121,,EQEP1_INDEX,,,,,,
B16,SDFM0_CLK0,,CLKOUT1,,,,,,,GPIO122,SDFM0_CLK0,EQEP1_STROBE,,,,,,
D14,SDFM0_D0,,PR0_ECAP0_APWM_OUT,,,,,,,GPIO123,SDFM0_D0,,,,,,,
A16,SDFM0_CLK1,,PR0_PRU1_GPIO7,CPTS0_TS_SYNC,UART5_RTSn,PR0_IEP0_EDC_SYNC_OUT1,,I2C3_SDA,,GPIO124,SDFM0_CLK1,,,,,,,
D13,SDFM0_D1,,PR0_PRU1_GPIO17,,UART5_CTSn,PR0_IEP0_EDIO_DATA_IN_OUT30,,,,GPIO125,SDFM0_D1,,,,,,,
B15,SDFM0_CLK2,,UART5_TXD,,,,,I2C3_SCL,GPMC_ADVn_ALE,GPIO126,SDFM0_CLK2,,,,,,,
C13,SDFM0_D2,,UART5_RXD,,,,,,,GPIO127,SDFM0_D2,,,,,,,
A15,SDFM0_CLK3,MCAN3_TX,MCAN3_TX,UART5_RXD,,,,,,GPIO128,SDFM0_CLK3,,,,,,,
C14,SDFM0_D3,MCAN3_RX,MCAN3_RX,,,,,,,GPIO129,SDFM0_D3,,,,,,,
B14,EQEP0_A,,UART4_RTSn,,,SPI4_CLK,,,,GPIO130,EQEP0_A,SDFM1_CLK0,,,,,,
A14,EQEP0_B,,UART4_CTSn,,,SPI4_CS0,,,,GPIO131,EQEP0_B,SDFM1_D0,,,,,,
C12,EQEP0_STROBE,,UART4_TXD,LIN4_TXD,,SPI4_D0,,,,GPIO132,EQEP0_STROBE,SDFM1_CLK1,,,,,,
D11,EQEP0_INDEX,,UART4_RXD,LIN4_RXD,,SPI4_D1,,,,GPIO133,EQEP0_INDEX,SDFM1_D1,,,,,,
B13,I2C0_SDA,,I2C0_SDA,,,,,,,GPIO134,EQEP2_A,SDFM1_CLK2,,,,,,
A13,I2C0_SCL,,I2C0_SCL,,,,,,,GPIO135,EQEP2_B,SDFM1_CLK3,,,,,,
B12,MCAN2_TX,MCAN2_TX,MCAN2_TX,UART1_RTSn,,,,,,GPIO136,EQEP2_STROBE,SDFM1_D2,,,,,,
A12,MCAN2_RX,MCAN2_RX,MCAN2_RX,UART2_RTSn,,,,,,GPIO137,EQEP2_INDEX,SDFM1_D3,,,,,,
M2,CLKOUT0,,CLKOUT0,,,,,,,GPIO138,,,,,,,,
C3,RESET_REQz,,RESET_REQz,,,,,,,,,,,,,,,
D4,SAFETY_ERRORn,,SAFETY_ERRORn,,,,,,,,,,,,,,,
C5,TDI,,TDI,,,,,,,,,,,,,,,
C4,TDO,,TDO,,,,,,,,,,,,,,,
D5,TMS,,TMS,,,,,,,,,,,,,,,
B3,TCK,,TCK,,,,,,,,,,,,,,,
R2,PORz,,PORz,,,,,,,,,,,,,,,
T1,XTAL_XI,,XI,,,,,,,,,,,,,,,
R1,XTAL_XO,,XO,,,,,,,,,,,,,,,
V15,ADC0_AIN0,,ADC0_AIN0,,,,,,,,,,,,,,,
U15,ADC0_AIN1,,ADC0_AIN1,,,,,,,,,,,,,,,
T14,ADC0_AIN2,,ADC0_AIN2,,,,,,,,,,,,,,,
U14,ADC0_AIN3,,ADC0_AIN3,,,,,,,,,,,,,,,
U13,ADC0_AIN4,,ADC0_AIN4,,,,,,,,,,,,,,,
R14,ADC0_AIN5,,ADC0_AIN5,,,,,,,,,,,,,,,
T11,ADC1_AIN0,,ADC1_AIN0,,,,,,,,,,,,,,,
U11,ADC1_AIN1,,ADC1_AIN1,,,,,,,,,,,,,,,
T12,ADC1_AIN2,,ADC1_AIN2,,,,,,,,,,,,,,,
V12,ADC1_AIN3,,ADC1_AIN3,,,,,,,,,,,,,,,
U12,ADC1_AIN4,,ADC1_AIN4,,,,,,,,,,,,,,,
R12,ADC1_AIN5,,ADC1_AIN5,,,,,,,,,,,,,,,
R10,ADC2_AIN0,,ADC2_AIN0,,,,,,,,,,,,,,,
T10,ADC2_AIN1,,ADC2_AIN1,,,,,,,,,,,,,,,
U10,ADC2_AIN2,,ADC2_AIN2,,,,,,,,,,,,,,,
T9,ADC2_AIN3,,ADC2_AIN3,,,,,,,,,,,,,,,
V9,ADC2_AIN4,,ADC2_AIN4,,,,,,,,,,,,,,,
T8,ADC2_AIN5,,ADC2_AIN5,,,,,,,,,,,,,,,
U7,ADC3_AIN0,,ADC3_AIN0,,,,,,,,,,,,,,,
U8,ADC3_AIN1,,ADC3_AIN1,,,,,,,,,,,,,,,
T7,ADC3_AIN2,,ADC3_AIN2,,,,,,,,,,,,,,,
R7,ADC3_AIN3,,ADC3_AIN3,,,,,,,,,,,,,,,
V8,ADC3_AIN4,,ADC3_AIN4,,,,,,,,,,,,,,,
U9,ADC3_AIN5,,ADC3_AIN5,,,,,,,,,,,,,,,
U6,ADC4_AIN0,,ADC4_AIN0,,,,,,,,,,,,,,,
V5,ADC4_AIN1,,ADC4_AIN1,,,,,,,,,,,,,,,
V4,ADC4_AIN2,,ADC4_AIN2,,,,,,,,,,,,,,,
U5,ADC4_AIN3,,ADC4_AIN3,,,,,,,,,,,,,,,
V3,ADC4_AIN4,,ADC4_AIN4,,,,,,,,,,,,,,,
U4,ADC4_AIN5,,ADC4_AIN5,,,,,,,,,,,,,,,
V14,ADC_VREFHI_G0,,,,,,,,,,,,,,,,,
V13,ADC_VREFLO_G0,,,,,,,,,,,,,,,,,
V10,ADC_VREFHI_G1,,,,,,,,,,,,,,,,,
V11,ADC_VREFLO_G1,,,,,,,,,,,,,,,,,
V6,ADC_VREFHI_G2,,,,,,,,,,,,,,,,,
V7,ADC_VREFLO_G2,,,,,,,,,,,,,,,,,
U16,ADC_CAL0,,,,,,,,,,,,,,,,,
T15,ADC_CAL1,,,,,,,,,,,,,,,,,
T13,DAC_VREF0,,DAC_VREF0,,,,,,,,,,,,,,,
T6,DAC_VREF1,,DAC_VREF1,,,,,,,,,,,,,,,
T5,DAC_OUT,,DAC_OUT,,,,,,,,,,,,,,,
RTI0_TIMER,RTI0_TIMER,,RTI0_TIMER,,,,,,,,,,,,,,,
RTI1_TIMER,RTI1_TIMER,,RTI1_TIMER,,,,,,,,,,,,,,,
RTI2_TIMER,RTI2_TIMER,,RTI2_TIMER,,,,,,,,,,,,,,,
RTI3_TIMER,RTI3_TIMER,,RTI3_TIMER,,,,,,,,,,,,,,,
U1,RSVD_U1,,,,,,,,,,,,,,,,,
U2,RSVD_U2,,,,,,,,,,,,,,,,,
U3,RSVD_U3,,,,,,,,,,,,,,,,,
V2,RSVD_V2,,,,,,,,,,,,,,,,,
J16,RSVD_J16,,,,,,,,,,,,,,,,,
A1,VSS_1,,,,,,,,,,,,,,,,,
T2,VSS_2,,,,,,,,,,,,,,,,,
P5,VSS_3,,,,,,,,,,,,,,,,,
M5,VSS_4,,,,,,,,,,,,,,,,,
L5,VSS_5,,,,,,,,,,,,,,,,,
J5,VSS_6,,,,,,,,,,,,,,,,,
H5,VSS_7,,,,,,,,,,,,,,,,,
F5,VSS_8,,,,,,,,,,,,,,,,,
E5,VSS_9,,,,,,,,,,,,,,,,,
M6,VSS_10,,,,,,,,,,,,,,,,,
L6,VSS_11,,,,,,,,,,,,,,,,,
J6,VSS_12,,,,,,,,,,,,,,,,,
H6,VSS_13,,,,,,,,,,,,,,,,,
F6,VSS_14,,,,,,,,,,,,,,,,,
E6,VSS_15,,,,,,,,,,,,,,,,,
N7,VSS_16,,,,,,,,,,,,,,,,,
M7,VSS_17,,,,,,,,,,,,,,,,,
L7,VSS_18,,,,,,,,,,,,,,,,,
K7,VSS_19,,,,,,,,,,,,,,,,,
J7,VSS_20,,,,,,,,,,,,,,,,,
H7,VSS_21,,,,,,,,,,,,,,,,,
G7,VSS_22,,,,,,,,,,,,,,,,,
F7,VSS_23,,,,,,,,,,,,,,,,,
E7,VSS_24,,,,,,,,,,,,,,,,,
N8,VSS_25,,,,,,,,,,,,,,,,,
M8,VSS_26,,,,,,,,,,,,,,,,,
L8,VSS_27,,,,,,,,,,,,,,,,,
K8,VSS_28,,,,,,,,,,,,,,,,,
J8,VSS_29,,,,,,,,,,,,,,,,,
H8,VSS_30,,,,,,,,,,,,,,,,,
G8,VSS_31,,,,,,,,,,,,,,,,,
F8,VSS_32,,,,,,,,,,,,,,,,,
E8,VSS_33,,,,,,,,,,,,,,,,,
N9,VSS_34,,,,,,,,,,,,,,,,,
M9,VSS_35,,,,,,,,,,,,,,,,,
L9,VSS_36,,,,,,,,,,,,,,,,,
K9,VSS_37,,,,,,,,,,,,,,,,,
J9,VSS_38,,,,,,,,,,,,,,,,,
H9,VSS_39,,,,,,,,,,,,,,,,,
G9,VSS_40,,,,,,,,,,,,,,,,,
N10,VSS_41,,,,,,,,,,,,,,,,,
M10,VSS_42,,,,,,,,,,,,,,,,,
L10,VSS_43,,,,,,,,,,,,,,,,,
K10,VSS_44,,,,,,,,,,,,,,,,,
J10,VSS_45,,,,,,,,,,,,,,,,,
H10,VSS_46,,,,,,,,,,,,,,,,,
G10,VSS_47,,,,,,,,,,,,,,,,,
F10,VSS_48,,,,,,,,,,,,,,,,,
E10,VSS_49,,,,,,,,,,,,,,,,,
N11,VSS_50,,,,,,,,,,,,,,,,,
M11,VSS_51,,,,,,,,,,,,,,,,,
L11,VSS_52,,,,,,,,,,,,,,,,,
K11,VSS_53,,,,,,,,,,,,,,,,,
J11,VSS_54,,,,,,,,,,,,,,,,,
H11,VSS_55,,,,,,,,,,,,,,,,,
G11,VSS_56,,,,,,,,,,,,,,,,,
N12,VSS_57,,,,,,,,,,,,,,,,,
M12,VSS_58,,,,,,,,,,,,,,,,,
L12,VSS_59,,,,,,,,,,,,,,,,,
K12,VSS_60,,,,,,,,,,,,,,,,,
J12,VSS_61,,,,,,,,,,,,,,,,,
H12,VSS_62,,,,,,,,,,,,,,,,,
G12,VSS_63,,,,,,,,,,,,,,,,,
F12,VSS_64,,,,,,,,,,,,,,,,,
E12,VSS_65,,,,,,,,,,,,,,,,,
P13,VSS_66,,,,,,,,,,,,,,,,,
M13,VSS_67,,,,,,,,,,,,,,,,,
L13,VSS_68,,,,,,,,,,,,,,,,,
J13,VSS_69,,,,,,,,,,,,,,,,,
H13,VSS_70,,,,,,,,,,,,,,,,,
F13,VSS_71,,,,,,,,,,,,,,,,,
E13,VSS_72,,,,,,,,,,,,,,,,,
P14,VSS_73,,,,,,,,,,,,,,,,,
M14,VSS_74,,,,,,,,,,,,,,,,,
L14,VSS_75,,,,,,,,,,,,,,,,,
J14,VSS_76,,,,,,,,,,,,,,,,,
H14,VSS_77,,,,,,,,,,,,,,,,,
F14,VSS_78,,,,,,,,,,,,,,,,,
E14,VSS_79,,,,,,,,,,,,,,,,,
V18,VSS_80,,,,,,,,,,,,,,,,,
A18,VSS_81,,,,,,,,,,,,,,,,,
V1,VSS_82,,,,,,,,,,,,,,,,,
R5,VSS_83,,,,,,,,,,,,,,,,,
P6,VSS_84,,,,,,,,,,,,,,,,,
P8,VSS_85,,,,,,,,,,,,,,,,,
P10,VSS_86,,,,,,,,,,,,,,,,,
